redTeam,blueTeam,winner
TSM,EG,EG
FLY,CLG,FLY
TL,100,100
GG,C9,C9
IMT,DIG,DIG
CLG,100,100
TSM,DIG,DIG
EG,C9,C9
GG,FLY,FLY
IMT,TL,TL
EG,DIG
IMT,100
TL,C9
GG,CLG
TSM,FLY
IMT,C9
TSM,GG
EG,100
TL,FLY
DIG,CLG
