tag,name
RGE,Rogue
FNC,Fnatic
G2,G2 Esports
MAD,MAD Lions
MSF,Misfits Gaming
VIT,Team Vitality
XL,Excel
BDS,Team BDS
SK,SK Gaming
AST,Astralis
